GOMF	DVBBS ft BRIDGE	Drake	English	2019	Dance	Electonic	dance	uplifting	Bass guitar	4	9	9	6	10	10	6
Good To Ya 	King Combs, Ty Dolla $ign	King Combs, Ty Dolla $ign	English	2019	hip-hop	rap	hurt	sad	synthesizer	6	7	7	7	8	8	8
Gotta Go	B.E.P, Jeongoon	Chung Ha	Korean	2019	Pop	KPop	Loving too late	Sexy	Synthesizer	7	10	10	9	9	10	5
Green Lights	Tommee Profitt, David Garcia, NF	Nathan Feuerstein (NF)	English	2017	hip-hop	christian rap	going far in life	encouraging	synthesizer	5	7	6	6	7	6	7
Grip	Seeb, Bastille	Seeb, Bastille	English	2018	Pop	Electronic	Decision Making	Calm	Synthesizer	4	7	6	6	7	6	7
Gurenge	LiSA	LiSA	Japanese	2019	pop	jpop	Move on	sad	sythesizer	5	8	8	8	8	6	7
H2o	Ski Mask theSlump God	XXXtentacion	English	2017	Hip Hop	Rap	H20	Hype	Drums	3	6	4	4	8	6	6
Ha	Juvenile 	Juvenile 	English	1998	hip hop 	rap	isolation 	hype	vocals	10	9	8	8	7	6	8
Had Me Hello	Luke Benward	Luke Benward	English	2012	pop	null	love	happy	guitar	7	7	8	8	8	7	7
Headlines	Drake	Drake	English	2011	hip-hop 	rap	self confidence 	hype	synthesizer	6	10	7	9	8	6	6
Hear Me Calling	Jarad Higgins, Geroge Dickenson, Nathanial Caserta	Juice Wrld	English	2019	hip-hop	Dancehall	emotions	light-hearted	piano	6	7	7	6	9	8	3
Heaven	Wheesung	Ailee	Korean	2012	KPop	Null	Love	Happy	sythesizer	0	8	8	8	8	6	5
Hiding With Boys	Neil Kennedy and Creeper	Creeper	English	2016	Rock	Punk	hiding	Helpless	Guitar	9	8	6	4	8	4	7
Hold On, We're Going Home	Drake	Drake, Majid Jordan 	English	2013	hip-hop	rap	love	calm	synthesizer	8	9	8	8	9	1	3
Home	J-Hope, ADORA, Julia Ross, Krysta Youngs, Lauren Dyson, Pdogg, RM, Suga, Tushar Apte, Jaegyeon Song, Bobby Jeong	BTS	Korean	2019	Pop	KPop	Love	Excited/Comforted	Synthesizer	6	10	10	9	9	10	7
Homicide 	 Logic (feat. Eminem)	Logic and Eminem	English	2019	hip hop	Rap	murder	anger	synthesizer	5	8	8	9	10	5	6
Honesty	Pink Sweat$	Pink Sweat$	English	2018	R&B & Soul	null	Love	Calm	Guitar	7	10	9	8	8	2	2
I Don't Want To See You Anymore Pilton Remix	XYLO	XYLO	English	2018	Pop	null	Not caring anymore	Happy, Sad	Synthesizer	6	5	5	5	5	6	5
I got 5 on it	luniz	luniz	English	1995	hip hop 	Rap 	lifestlye	Hustle	vocals	10	10	6	9	4	3	9
I Like Girls	Pnb Rock/ Lil Skies	Pnb Rock/ Lil Skies	English 	2019	hip hop 	Rap	Women	Hype	Piano	3	2	6	6	7	9	3
I'll be fine	Juice WRLD	Juice WRLD	english	2018	hip-hop	hip-hop	moving on	upbeat	synthesizer	7	9	7	6	8	7	8
Immortal	J.cole	J.cole	English	2016	hip-hop	rap	inspirational	chill	synthesizer	7	9	7	6	7	0	3
in my head	Ariana Grande	Ariana Grande	English	2019	Pop	null	Regret	Calm	Synthesizer	3	7	10	9	9	2	4
In my world	Rookiez is Punk'd	rookiez is punk'd	Japanese	2011	rock	jrock	depressed	sad	guitar	8	10	7	7	8	null	7
In the Morning 	J cole	J cole, Drake	English	2011	hip-hop 	soul	flirting 	smooth	synthesizer	8	8	7	8	9	3	4
indestructible	Disturbed	disutrbed	english	2008	rock	hardrock	overwhelming	carzy	guitar	9	8	8	7	8	7	4
Inmortal	Aventura	Aventura	Spanish	2019	Latin	Bachata	love	danceable	synthesizer	8	8	9	9	9	10	7
Jenny Was A Friend Of Mine	The Killers	The Killers	English	2003	rock	punk	murder	justified	guitar	8	6	4	2	7	2	8
Jump Around	Lawrence Muggerud, Erik Schrody	    Lawrence Muggerud, Erik Schrody	English	1992	hip  hop	rap	uplifting	bounce	synthesizer	10	5	5	3	8	9	4
Just Like Honey	The jesus and mary chain 	The jesus and mary chain 	English	1985	rock	pop rock	Racing	fast	guitar	10	10	9	9	7	8	8
Juveniles	YBN Nahmir, wifisfuneral	wifisfuneral, YBN Nahmir	English	2018	hip-hop		strip club	upbeat	synthesizer	5	3	3	7	7	7	7
